Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
682,Taylor Rogers*,31,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,rogerta01
683,Taylor Rogers*,31,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,rogerta01
684,Jose Rojas*,29,LAA,AL,18,49,48,1,5,2,0,0,1,0,0,0,15,.104,.122,.146,.268,-24,7,1,1,0,0,0,/59H7,rojasjo02
685,Josh Rojas*,28,ARI,NL,89,364,319,50,92,19,1,7,38,17,1,37,68,.288,.360,.420,.780,121,134,2,1,3,4,2,5/4HD,rojasjo01
686,Miguel Rojas,33,MIA,NL,106,394,363,31,85,14,2,6,29,9,2,23,47,.234,.285,.333,.618,74,121,9,4,1,3,1,*6/3H,rojasmi02
687,JoJo Romero*,25,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,romerjo01
688,JoJo Romero*,25,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,romerjo01
689,Austin Romine,33,TOT,MLB,21,58,55,5,11,3,0,0,4,0,0,2,16,.200,.228,.255,.483,36,14,0,0,1,0,0,2/DH,rominau01
690,Austin Romine,33,TOT,NL,18,49,47,5,9,3,0,0,4,0,0,2,13,.191,.224,.255,.480,35,12,0,0,0,0,0,2/DH,rominau01
691,Austin Romine,33,LAA,AL,3,9,8,0,2,0,0,0,0,0,0,0,3,.250,.250,.250,.500,43,2,0,0,1,0,0,/2,rominau01
692,Austin Romine,33,STL,NL,11,28,26,2,4,1,0,0,0,0,0,2,7,.154,.214,.192,.407,20,5,0,0,0,0,0,2/DH,rominau01
693,Austin Romine,33,CIN,NL,7,21,21,3,5,2,0,0,4,0,0,0,6,.238,.238,.333,.571,53,7,0,0,0,0,0,/2,rominau01
694,Brent Rooker,27,TOT,MLB,8,22,19,1,2,1,0,0,1,0,0,2,7,.105,.227,.158,.385,13,3,2,1,0,0,0,/7DH,rookebr01
695,Brent Rooker,27,SDP,NL,2,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,/7,rookebr01
